Год;Месяц;День;Алтайский край;Забайкальский край;Иркутская область;Кемеровская область;Красноярский край;Новосибирская область;Омская область;Республика Бурятия;Республика Тыва;Республика Хакасия;Томская область
;6;1;24289;17935;127702;77570;111123;35820;25007;12628;1402;42813;20329
;;2;24417;17234;126817;77893;111835;35722;25010;12255;1436;43116;20317
;;3;22978;16935;126825;77449;111366;33074;23958;11492;1404;42750;19370
;;4;22226;16506;129510;76682;110787;32462;23503;11347;1359;42798;18891
;;5;24305;17639;133612;76503;110330;34831;24540;12881;1411;43100;19210
;;6;24677;19176;128989;75524;110475;34939;24490;12601;1424;42844;18614
;;7;25020;18265;127823;76848;109850;35789;24962;12757;1415;42753;18436
;;8;24536;17646;126075;77593;110078;34920;24810;12139;1437;43205;18301
;;9;24641;16875;127067;76712;108772;34872;25147;12296;1499;42986;18525
;;10;23451;17136;125811;76033;108268;32865;24273;11398;1393;42714;18495
;;11;22758;17561;124482;76259;107139;32337;23891;11871;1353;42426;18229
;;12;22529;18100;124509;75653;108157;33169;23349;11883;1379;42556;18463
;;13;24070;19260;125446;75866;109020;34518;24862;11671;1380;42905;18996
;;14;24364;18533;123544;77138;109710;35066;25100;11443;1385;42886;19145
;;15;24622;17576;122257;77420;109953;35150;25370;11351;1400;43141;19308
;;16;24738;17313;124996;76863;109629;35157;25344;11366;1410;42806;19480
;;17;23733;16868;124346;76601;107523;32981;24835;11727;1372;42327;18891
;;18;23527;17111;123388;75140;107546;32803;24535;11703;1326;42691;18544
;;19;25455;17998;123968;77394;109548;35394;25068;11901;1367;43054;19572
;;20;25108;18891;123687;76394;110141;35021;25548;11942;1355;43099;19655
;;21;25194;17760;123391;77952;111764;35872;25282;11776;1349;43105;19593
;;22;25393;17741;123856;78587;112477;36090;25221;11807;1360;43155;19479
;;23;25337;18175;124565;78986;110390;35316;25822;11670;1372;43004;19363
;;24;23556;16043;122803;76968;110342;32900;24322;11601;1353;42809;18932
;;25;23112;16618;122802;77502;108828;33149;24124;11508;1326;42924;18797
;;26;24767;18742;123909;77747;111743;35818;25509;12357;1338;43071;19206
;;27;24566;19216;121009;76075;104879;35493;25237;12433;1357;42286;19210
;;28;24169;18061;122140;77306;108992;36136;25804;12364;1363;42740;19205
;;29;24654;18484;121648;78220;110338;35694;25689;12141;1379;43155;19787
;;30;24544;18527;120418;77598;110011;35128;24866;12039;1322;43283;19944
;7;1;22771;19144;119143;76385;108686;33657;23600;11957;1269;43048;19204
;;2;22540;18233;119858;77001;108574;32915;23472;11700;1247;42913;18928
;;3;24498;18374;121410;76584;109735;34940;24753;12112;1258;42779;19388
;;4;25064;19132;121878;76404;109660;34527;24507;11853;1300;42665;19494
;;5;24760;17385;120440;75860;110088;34729;24099;11825;1347;42952;19668
;;6;24758;16950;121397;77624;110708;34869;23741;11597;1307;43038;19610
;;7;24440;16587;123961;75419;110445;33906;24187;11431;1313;42799;19462
;;8;23469;16011;122885;75082;108986;32879;23366;11678;1345;42708;18833
;;9;22770;16396;122691;74954;109019;31925;23410;11694;1337;42586;19017
;;10;24745;17186;124700;75375;109571;33916;24565;12659;1350;43132;19731
;;11;24760;18460;124248;73689;110893;34204;24329;12309;1332;43191;19506
;;12;24616;17166;124295;75270;110524;34605;24462;12428;1344;43026;19737
;;13;24571;16878;123920;76112;111400;34891;24125;12524;1360;43155;19977
;;14;24185;16420;124162;75747;110033;33882;24142;12385;1366;43201;19946
;;15;22927;16061;123977;74653;109430;32957;23194;12092;1346;42854;19308
;;16;22445;16697;124677;74814;109188;32423;22963;12372;1321;42706;19133
;;17;24452;17069;125183;75333;109938;34320;24196;12792;1334;42876;19659
;;18;24733;18002;123642;75131;109465;34209;24521;12275;1353;43056;19668
;;19;24337;17156;123684;76114;109061;34675;24331;12618;1328;42935;19633
;;20;24328;17098;123805;76042;110329;34752;24528;12432;1364;42953;19729
;;21;24259;17768;124532;75626;109905;34583;24475;11772;1357;42933;19564
;;22;23350;17229;123481;75697;109067;32938;23661;12003;1322;42934;19204
;;23;23035;17682;123840;75707;107665;32323;23392;11880;1327;42871;19130
;;24;24702;18691;124654;76004;110653;35053;24750;11896;1389;43194;19538
;;25;25059;18591;125466;75549;110209;34665;25028;11669;1362;43087;19491
;;26;25196;17433;124782;77089;111242;35452;25208;11448;1353;43419;19673
;;27;25545;17060;124641;76119;112081;35712;25020;11921;1372;43376;19612
;;28;25254;18051;125461;77106;111062;35439;24669;11821;1389;43321;19569
;;29;23783;17324;124268;76625;109720;33378;23610;12006;1251;42869;18907
;;30;23012;17973;123027;76655;109642;33042;23219;11877;1282;43094;18795
;;31;24669;17933;125267;77624;110197;35099;24668;12382;1358;43414;19471
;8;1;24663;18044;123053;76856;109731;35236;24852;12233;1349;43481;19943
;;2;24816;17528;122778;76582;110150;35299;25240;12099;1346;43595;19897
;;3;24948;17300;123015;76178;110394;35435;25280;12246;1345;43559;19808
;;4;25123;16901;123424;76221;110740;34921;24827;12261;1313;43211;20023
;;5;23855;15091;123748;76215;109270;33189;23281;11176;1375;43326;19370
;;6;23502;17164;122800;76249;109181;32914;23699;11465;1326;43179;19178
;;7;25396;18243;125119;78489;109849;35440;24690;12431;1389;43303;19997
;;8;25124;18171;124674;77564;110522;34953;25039;11844;1396;43113;19788
;;9;25339;17097;124894;76771;109446;35143;25173;12013;1382;42910;19197
;;10;25488;17425;125422;77937;110527;34659;24559;11954;1393;43149;19819
;;11;25225;17360;124782;76981;109788;34272;24809;11809;1388;43235;19508
;;12;23943;16695;123942;76336;109465;34181;23984;11820;1393;42999;19116
;;13;23362;17904;124572;74443;108910;33142;23588;12120;1325;43119;18703
;;14;25081;18411;125952;75829;109908;34948;24944;12608;1324;43327;19105
;;15;25223;18588;124400;75717;110024;34894;24960;12122;1322;43563;19125
;;16;25382;16986;125041;75996;110480;35161;25001;11757;1408;43072;19100
;;17;25291;16690;124727;75571;110228;35032;25100;12009;1421;43090;19068
;;18;25262;16825;124613;76400;108482;35477;24964;11675;1395;43185;19107
;;19;23919;16606;123672;76373;108605;34269;24079;12071;1440;43167;18380
;;20;23210;17395;124697;76977;109064;33754;23647;12185;1450;43256;18098
;;21;25110;18849;127768;77337;111143;35432;24987;12095;1472;42742;19072
;;22;25400;19323;127282;76993;112101;35489;25436;12271;1568;42751;20296
;;23;25721;18449;126163;77322;111941;35867;25590;12255;1677;43357;19984
;;24;25350;18748;128542;78671;111749;36325;25896;12483;1578;43140;20202
;;25;25353;18656;128433;77495;112630;34924;25932;12079;1575;43681;20003
;;26;24113;17347;129201;75920;111606;32982;24896;11941;1634;43328;19725
;;27;23744;18638;131647;75951;110639;32849;24360;12315;1559;44049;19450
;;28;25345;19521;133481;78529;110656;35722;25866;13079;1506;44410;20198
;;29;25477;20213;128961;78738;110185;35656;25567;12471;1447;44300;20154
;;30;25766;19842;128011;78808;109585;35773;25356;11909;1437;44462;20431
;;31;25183;19103;126865;78561;109786;36206;25321;12165;1471;44459;20486
;9;1;24364;18015;127365;78829;109288;35339;24847;11633;1522;44658;20506
;;2;23943;16917;127415;80781;109700;34540;24261;11843;1525;44488;20166
;;3;23732;17287;128468;79495;110133;33691;24063;12032;1506;43714;20021
;;4;24944;18546;131104;80075;111318;35386;25095;12701;1504;44354;20769
;;5;25005;19619;131961;80261;110451;35995;25450;12711;1564;44371;20993
;;6;25071;18483;133271;79572;112058;37062;26439;13035;1558;44498;21114
;;7;25685;18187;133232;80803;112333;38812;25595;12222;1529;44729;21274
;;8;25958;18929;132760;81209;114024;38883;25653;11842;1592;44692;21779
;;9;24320;18555;133052;81032;113945;37294;25126;12571;1609;44425;21079
;;10;23977;19536;134311;81270;113562;37523;25207;12828;1661;44499;21364
;;11;26362;20641;135533;82535;115091;39751;27241;12924;1674;44180;21590
;;12;26103;20732;133707;79813;115079;40751;27805;13123;1652;44527;20763
;;13;26957;19966;132488;83979;116017;41191;27997;13160;1667;45060;20406
;;14;26350;19629;132305;83235;117208;40819;27856;13036;1769;45133;20479
;;15;26017;18530;133123;83334;117604;39085;27161;12300;1767;45094;20869
;;16;24822;18364;131044;82031;116034;36432;25392;11986;1692;45213;20671
;;17;24290;17396;131818;82278;116114;35458;25176;11495;1760;45046;20693
;;18;26257;18974;134408;84157;117338;38005;26992;12816;1679;44725;21214
;;19;26447;19944;134059;83125;118021;39942;27600;13715;1776;44716;21519
;;20;27235;19893;136243;84001;117971;41427;28183;14236;1839;45016;21887
;;21;27497;20055;137161;85002;117452;41631;28595;14409;1947;45518;22084
;;22;28000;20894;137177;85727;118851;42435;29225;13871;1922;45428;22054
;;23;27528;19683;138040;85772;118557;41629;29739;14139;1911;45688;21700
;;24;27142;18951;138882;85241;117605;40968;29192;13230;1966;46009;21706
;;25;30306;20697;141722;86490;120330;44839;30983;14764;2126;46212;21944
;;26;30115;21898;143648;86183;121672;45019;30886;14542;2101;46443;22172
;;27;30258;21864;145720;87501;121215;44277;30789;14802;2092;46258;22295
;;28;30287;21487;144339;86924;121197;44591;30497;15007;2123;45958;22292
;;29;30576;21357;144620;87671;121586;44269;30388;14941;2230;46680;22195
;;30;28906;21046;144752;86364;120605;42899;29245;14595;2104;46543;21557
;10;1;27916;21382;144258;86396;119629;42108;29005;15195;2127;46610;21534
;;2;30065;21140;144845;86438;121220;44077;30924;15108;2098;46470;22183
;;3;30408;21968;142457;85479;120463;44140;30792;15304;2087;46529;22550
;;4;30582;20202;142140;86119;121226;44816;31055;15071;2105;46399;22753
;;5;30795;21162;143392;86526;122231;45503;31037;14899;2155;46749;22615
;;6;31127;20897;144380;87685;121592;45724;30542;14319;2288;47302;22788
;;7;29512;20915;144743;88212;121433;42847;29100;14669;2290;46858;22409
;;8;28586;21966;145862;87029;121726;42286;28709;14959;2244;46788;22201
;;9;30345;22041;146316;87598;123315;45008;29864;15624;2300;46949;22937
;;10;30436;22214;146300;87564;123370;44552;29349;15164;2311;47080;22922
;;11;30534;21737;148241;87991;123137;45165;29221;15700;2321;46897;23094
;;12;30422;22103;148002;88319;124247;44852;29010;15451;2304;47155;22968
;;13;30298;22410;148980;88114;123799;45095;29005;15535;2314;47388;23138
;;14;28949;21495;149451;88312;123334;43812;28168;15237;2314;47125;22365
;;15;28355;21846;147758;86558;122331;42402;28159;15349;2281;47122;22037
;;16;30009;23264;148823;87001;123520;45436;28695;16077;2332;46863;22790
;;17;29947;22651;147721;85258;122916;45173;28994;15811;2307;47056;22863
;;18;30160;21502;147343;85878;122491;46128;29235;15578;2359;46608;22974
;;19;30499;21919;146677;85904;122982;46178;28932;15377;2299;46699;22659
;;20;30701;22061;147130;85928;123806;45816;29353;15450;2335;46252;22764
;;21;29441;21538;146058;86544;122441;44047;28647;15501;2317;46482;21962
;;22;28913;21322;145891;86099;121972;42840;28465;15669;2350;46407;21993
;;23;30423;21997;147106;87362;123017;45834;30510;15434;2409;43229;22668
;;24;30634;22335;145371;86827;122763;46413;31272;15319;2383;46496;22680
;;25;31329;21613;145904;88399;124920;47023;31322;15247;2420;46630;23107
;;26;31580;21932;148770;89411;125930;47559;31383;15594;2348;46552;23074
;;27;31353;21831;151145;88061;125578;47990;31423;15741;2352;46240;23233
;;28;30285;21491;149427;85941;123556;45982;30691;15476;2396;46414;22416
;;29;29726;21805;149759;86227;121992;45724;29846;15632;2439;46712;22362
;;30;31044;22493;150713;87902;125495;48265;32038;15433;2441;46799;23341
;;31;30858;22968;152016;88609;126029;47264;30979;15873;2489;47344;22956
;11;1;30781;22367;154048;87128;126780;47273;30421;16260;2452;47410;22855
;;2;30222;23237;153464;87040;127063;46542;30205;16088;2503;46787;23100
;;3;29679;23044;152255;85891;123360;46178;30942;16430;2422;47079;23239
;;4;28583;22217;149521;86420;121098;44722;29580;16107;2404;46775;22540
;;5;28450;21979;148187;87647;122596;44964;29462;15275;2413;46916;22546
;;6;29680;23104;148572;88891;124110;45844;29882;15875;2486;47039;22869
;;7;31403;23579;151025;88759;126529;47944;31243;16584;2461;47362;23754
;;8;31685;22605;151501;89711;126872;48606;31812;16940;2442;47298;23242
;;9;31919;23429;151283;90136;127673;48273;31420;16544;2463;47203;23560
;;10;32006;22891;152404;90700;125881;49036;31771;16831;2514;47539;24226
;;11;31391;23827;152978;91866;128286;48948;31537;16771;2523;47277;24117
