Год;Месяц;День;Алтайский край;Забайкальский край;Иркутская область;Кемеровская область;Красноярский край;Новосибирская область;Омская область;Республика Бурятия;Республика Тыва;Республика Хакасия;Томская область
;;14;34908;26000;183136;97162;140771;55164;35207;19256;3201;49118;26909
;;15;34513;26434;179644;94903;139442;54502;34761;19342;3236;49206;26789
;;16;34069;25972;178785;94838;138870;54848;36987;19381;3245;49035;26681
;;17;34699;26652;177170;95909;139264;56297;37216;19028;3224;48821;26506
;;18;35628;26173;175715;95765;138316;55688;35766;18913;3219;49423;26338
;;19;32769;26691;173541;94701;136220;51491;33923;18350;3208;49197;25401
;;20;31850;25720;172588;93876;135108;50771;34679;18081;3182;48460;25136
;;21;33808;25609;171348;93180;135736;52167;34053;18377;3213;48442;25922
;;22;33925;25157;171128;92357;136987;52169;35513;18280;3244;48422;26158
;;23;35086;24732;170055;92935;137276;53347;35731;18693;3185;49105;26565
;;24;35006;25900;172150;94223;141324;54902;35341;18121;3208;49511;26903
;;25;34137;25449;172942;94951;140447;53994;36062;18751;3170;48940;26685
;;26;33210;25450;172961;95296;138422;52932;34861;18579;3134;48398;26297
;;27;32579;25940;172333;94412;138088;52435;34568;18200;3086;48255;25751
;;28;35596;26161;173491;97513;142803;56925;37033;18727;3103;48828;26413
;;29;35900;26697;175172;97311;143413;58366;37120;18735;3130;49024;26680
;;30;35246;25466;173841;96202;141424;56776;36421;19005;3136;48446;26897
;;31;34816;26208;173366;96236;143920;57148;36613;18319;3154;48527;27204
;2;1;35700;25972;177229;99592;147358;58731;37074;18380;3134;49187;27998
;;2;35063;26165;180958;99051;146750;57613;36024;19019;3128;49517;28011
;;3;34037;26488;182861;97933;145894;57143;35587;19078;3118;49377;28155
;;4;36211;27053;185848;100731;149256;60090;37429;19739;3187;49826;29280
;;5;37085;26956;187242;101168;150062;60638;38026;18896;3120;50083;29251
;;6;36802;26327;189442;101302;150212;60694;38074;19872;3250;50354;29061
;;7;37190;26730;189860;100694;150459;61144;38183;19427;3221;50178;28873
;;8;37293;26658;188757;101312;149353;60409;38393;19506;3241;50455;29040
;;9;35649;25979;187531;99493;147885;58431;36812;19250;3228;50382;27955
;;10;34213;26143;187711;98485;146849;56307;35834;19712;3257;50344;27150
;;11;35990;26626;187800;99265;148214;57898;36545;19939;3270;50171;27477
;;12;35643;26697;186025;98225;147569;58122;37225;19872;3249;49903;27320
;;13;35961;25904;184777;98187;144334;57518;36101;20177;3221;49640;26794
;;14;34951;26281;181858;96535;141627;55457;35976;19977;3197;49138;26066
;;15;34506;25777;179840;95011;139727;54597;35775;19838;3157;48926;25721
;;16;32787;24868;175795;93814;137438;51228;34303;18874;3131;48712;25038
;;17;31517;25123;174013;92267;135310;49828;33169;18716;3109;47950;24755
;;18;33160;24389;172195;91967;135532;52269;34530;18788;3113;48276;25371
;;19;32402;24765;169998;89618;135300;52243;34030;18631;3047;47714;24918
;;20;32094;23701;169032;90081;134141;51729;34198;18524;3000;47705;24644
;;21;32718;24570;166239;90864;134360;51981;34502;17869;2982;47552;24761
;;22;32868;24167;165896;91413;133270;52657;34205;17223;2955;47704;24971
;;23;30471;24354;164089;90514;131961;48987;32602;16670;2943;47219;24119
;;24;30568;23824;162866;90878;131042;49024;32465;16887;2934;47134;24142
;;25;32854;23562;162714;92584;133577;52231;34113;17111;2957;47772;24857
;;26;33558;23829;161704;92194;134300;52382;34154;16539;2937;47653;24858
;;27;33019;22744;162844;92329;133091;51560;34162;17322;2919;47542;24662
;;28;32759;24231;159889;91302;132196;51977;34668;16235;2917;47284;24558
;3;1;32109;23940;160111;91133;132609;50835;34538;16732;2872;47248;24697
;;2;30928;23859;158355;90880;131334;49699;32804;16102;2848;47154;24498
;;3;30474;24399;158098;90489;131707;49285;32405;15963;2814;46954;24304
;;4;31514;23512;159889;89800;131526;49871;33319;16326;2803;46701;24311
;;5;31594;23667;158534;89224;131309;50326;33568;16300;2788;46902;24299
;;6;32550;23328;157368;91044;131236;51463;33687;16451;2737;46831;24671
;;7;30884;23008;152560;87502;127043;49496;31677;15447;2571;44853;23830
;;8;28380;22930;150489;85481;124869;45932;29629;14814;2499;44681;22884
;;9;28854;22855;151024;86864;124749;45527;30038;15037;2516;44773;22934
;;10;29232;22447;151831;87178;125980;46910;30431;15477;2567;44804;23020
;;11;31187;22841;153556;87474;126020;49900;31295;15901;2522;44872;23857
;;12;31997;23784;157640;90395;131075;50965;31815;15912;2635;46728;24576
;;13;31613;22651;158274;89378;130269;49719;32164;16250;2578;46459;23981
;;14;31168;23833;155964;89261;130758;49369;31868;15725;2480;46527;24001
;;15;30827;23180;155936;87830;128859;48276;32035;15948;2440;46171;23899
;;16;30154;23516;152025;88596;128216;47057;31427;15551;2434;46119;23566
;;17;30068;23880;152006;90048;129195;47332;30740;15055;2359;46546;23620
;;18;32931;23234;157327;91382;131484;50178;32295;15917;2461;46765;24452
;;19;32124;23601;156068;89513;131338;49467;32422;15914;2461;46600;23573
;;20;32191;22136;157234;90223;130554;48755;32371;16319;2470;47047;23053
;;21;31421;24390;157759;89678;130150;48825;32311;16323;2434;46995;23015
;;22;31493;23473;157051;89197;129526;48377;32312;16328;2414;46650;23030
;;23;29505;24135;154789;87489;127679;46269;31197;15791;2380;46326;22900
;;24;28779;24237;154118;87376;126697;45618;30437;15867;2334;46155;22489
;;25;30766;23817;156138;88196;128629;47220;31972;16043;2389;46440;23496
;;26;30489;24367;155526;87657;129378;47608;32337;15853;2391;46211;23287
;;27;30201;23588;155249;87347;128977;47850;31181;16264;2334;45814;23457
;;28;30268;23944;154164;88138;129630;47282;31427;15896;2388;46105;23225
;;29;29903;23597;154981;86666;128480;46679;31331;16286;2321;46060;23301
;;30;28838;23589;152210;86810;127825;45373;30072;15728;2330;45850;22643
;;31;27698;23595;152025;87061;126692;44232;29599;15661;2263;45789;22458
;4;1;29268;22950;151507;87709;128628;46047;30001;15786;2216;45738;22413
;;2;29223;22853;148675;86533;127781;45780;29642;15072;2142;45659;21916
;;3;29312;22006;152790;86923;127996;44938;30142;15812;2152;45363;21031
;;4;29366;23713;151475;87097;127847;45860;30862;15306;2142;45418;21304
;;5;30115;22607;152121;88232;127218;46582;30937;15759;2176;45756;21790
;;6;28903;23457;151068;87911;126094;42661;29448;15622;2184;45624;21359
;;7;27526;23283;150009;87385;125910;42724;28677;15758;2227;45577;21228
;;8;29071;22224;151323;87412;127397;45017;29617;15957;2205;45776;21564
;;9;28699;22528;149330;85717;126954;44164;29231;14871;2177;45627;21500
;;10;29197;21570;148364;85613;126573;44551;28604;15371;2143;45628;21683
;;11;28498;22786;150255;86832;128199;44209;28175;14977;2134;45613;21812
;;12;28426;22442;152595;86166;128230;44607;28005;15412;2142;45959;21696
;;13;27117;22786;150977;85323;127998;41878;27109;15315;2131;45463;21274
;;14;26969;21886;147520;85188;126836;41866;27977;14928;2092;45884;21296
;;15;29959;22145;150583;88211;128604;45300;29322;14984;2072;46712;21736
;;16;29485;22208;151813;86770;129061;44663;29206;14733;2087;45744;21355
;;17;29440;21374;150629;87243;128259;45413;30197;15197;2086;45893;21799
;;18;30601;22082;146564;89751;129929;46896;30567;14281;1817;46093;22626
;;19;30203;21889;151619;89159;130975;45626;29970;14793;2029;46347;22354
;;20;28721;22315;150515;87588;128536;43018;28893;15024;2099;45931;21643
;;21;27993;22284;148143;87011;128950;42838;28097;14819;2220;45774;21392
;;22;29245;22542;150226;86337;130173;43953;29105;15327;2121;45838;21631
;;23;28905;23207;146363;85741;128114;43696;28471;14759;2078;45411;21604
;;24;28698;21059;144410;85837;126549;43237;28487;14308;2073;45302;21700
;;25;29559;21016;144143;86296;126645;44876;29561;13378;2053;45367;21833
;;26;28978;20638;144125;86539;127240;44432;29187;14183;1967;45215;21760
;;27;29294;21509;143081;89508;128299;43182;28956;14263;1962;45670;21712
;;28;26593;20752;143727;86358;126417;40561;27714;13961;1975;44897;20994
;;29;27812;21250;145730;85291;126291;42753;28305;14420;1908;44733;21601
;;30;26809;21920;141494;83102;124779;41701;29317;13250;1858;44428;20816
;5;1;26075;19605;137654;84944;125797;42004;27471;13225;1798;44486;20627
;;2;26084;19425;141553;85567;127522;41419;27016;12549;1906;44890;21061
;;3;26534;19262;146448;84790;126785;40080;26676;13979;1927;44871;20912
;;4;26093;21241;145137;84448;125703;39787;26342;14093;1911;44723;20756
;;5;25635;21906;142919;84162;124427;39525;25666;14196;1865;44399;20320
;;6;26882;21444;141477;82480;124964;40189;26287;14222;1804;44305;20639
;;7;25493;21288;138323;82145;124469;39577;25192;13950;1776;43768;20402
;;8;25249;20165;138626;82500;123696;38104;24883;13816;1771;43807;21057
;;9;23362;19926;142748;82656;124359;35712;23377;12950;1770;43811;20658
;;10;24395;20251;148562;83558;124774;36443;23680;14001;1876;44047;20953
;;11;24286;21379;145097;83757;126126;35728;23939;14696;1928;44308;21248
;;12;24741;21186;143803;83232;124720;36923;24057;14646;1989;44608;21341
;;13;27661;21653;144734;85314;127019;41726;25707;14933;1991;44871;22138
;;14;28552;21235;144719;84538;127088;42480;26450;14984;2084;44930;22453
;;15;29438;20757;142804;84622;125950;42604;26432;14542;2069;45097;22314
;;16;29260;20702;141945;85675;126851;41885;26277;14185;2082;44936;21803
;;17;28722;21408;142810;85009;126458;41142;26244;15057;2087;44803;21627
;;18;26631;21409;141872;84761;125216;39034;25838;15404;2020;44513;21378
;;19;25854;21290;138208;82934;123709;37803;25395;15082;1930;43691;20822
;;20;27289;21199;135515;82940;122624;40151;27128;14349;1788;43765;21001
;;21;27084;20605;131413;82332;123339;41047;27197;13291;1707;43377;20965
;;22;27380;19040;131052;82006;123745;40295;27156;13478;1637;43429;21539
;;23;27753;18627;134106;84040;124778;40716;26870;12940;1663;43392;21483
;;24;27415;19216;135525;83128;124477;39950;26616;13938;1756;43743;21332
;;25;25781;19721;134388;81969;121164;36911;25880;13203;1690;43364;20537
;;26;26275;20257;134069;83273;120752;37201;25518;12724;1680;43561;20704
;;27;27461;19717;134696;81459;122919;39250;26174;13644;1731;43866;21401
;;28;26534;19873;136799;81571;121778;37994;25638;13956;1685;43496;20992
;;29;26343;20326;134542;78322;119140;36766;25445;13748;1651;43450;20264
;;30;25843;19995;131420;79879;118838;37896;25436;13313;1560;43337;20367
;;31;25457;18899;129489;80104;119986;38364;25472;12994;1476;43242;20710
;6;1;24497;17819;132332;80765;119318;36923;24548;12992;1450;43068;20048
;;2;24030;18763;133663;78546;119668;36490;23840;12757;1580;43306;19827
;;3;25622;19371;137753;79813;120467;38315;24949;13516;1600;43284;20734
;;4;25381;20852;133899;78781;117128;37700;24844;13541;1612;43189;20599
;;5;25833;19909;134514;78057;117501;36706;25080;13443;1613;43388;19911
;;6;25484;19720;133697;78574;119221;36255;24701;12765;1533;43010;19570
;;7;25369;20146;132296;79522;118526;36143;25551;12993;1539;43156;19906
;;8;24100;19424;131690;79956;117751;33790;24773;12410;1431;42836;19522
;;9;23913;19332;130597;79099;118096;33833;24836;12418;1430;42817;19137
;;10;25019;19271;131552;79915;119157;35523;25323;12664;1474;42912;19750
;;11;24808;19618;130205;78225;119238;35939;25070;12155;1436;42702;19878
;;12;24067;19279;130607;77924;117897;34219;23681;12157;1418;42658;19354
;;13;24758;18820;128702;79556;119625;36169;24609;11869;1445;42569;19936
;;14;24882;18881;130192;78247;119941;35200;24989;12049;1477;42640;19548
;;15;23474;18998;128831;79081;117171;33618;24104;12341;1403;42382;18938
;;16;23239;18486;128761;79318;117333;34548;23468;12284;1353;42471;19047
;;17;24997;18839;129848;78643;119112;36128;24941;12498;1458;42651;19712
;;18;24916;19356;129029;78838;118283;36502;25186;12933;1439;42531;20075
;;19;25224;19807;129608;77473;117097;36285;24779;12643;1452;42338;20068
;;20;25197;19220;128051;77582;117196;35962;25107;12048;1431;42458;19232
;;21;25384;18145;130137;78191;118574;35532;25068;12218;1413;42574;19577
;;22;24255;18025;128832;78914;117695;34462;24369;12316;1371;42267;18896
;;23;23629;17510;128753;80069;116965;34332;23969;12200;1386;42192;18869
;;24;25105;18033;129486;79749;118687;35984;25120;12675;1421;42697;19691
;;25;24808;18657;127877;78785;119664;35920;25382;12736;1433;42569;19741
;;26;24668;18310;128912;79491;118258;36523;24934;12628;1512;42567;19806
;;27;24584;18366;127759;79030;117597;36020;24901;12329;1419;42765;19794
;;28;24437;18751;128494;78662;117729;35934;24461;12106;1423;42688;19854
;;29;22693;18807;127601;79035;117266;34736;23333;11545;1428;42577;19389
;;30;21948;18465;127802;79056;116232;33034;22597;11934;1408;43030;19090
;7;1;23713;18981;127952;79117;119079;35237;23844;12091;1409;43031;19362
;;2;24259;19268;127258;79115;118504;36082;24135;11785;1431;42784;19408
;;3;24932;18586;128181;78250;117899;36239;24360;11609;1507;42809;19536
;;4;24979;18246;126458;78936;118014;35876;24332;11811;1477;43033;19413
;;5;24559;17874;128389;78897;117722;35706;24491;12345;1376;43004;19404
;;6;23691;18444;128513;78021;116372;33765;23823;12468;1389;42723;19350
;;7;23404;19076;127160;77372;116325;32914;23141;12664;1378;42660;19583
;;8;24976;19271;129160;77484;118150;35666;24226;13162;1384;43208;19974
;;9;25404;19517;128116;76376;119146;36395;24164;13231;1412;42963;19793
;;10;25567;19139;129230;77581;118186;35621;24354;12671;1394;43121;19812
;;11;25449;19270;127299;78024;118880;35967;24652;12273;1427;43347;19601
;;12;25295;18090;127051;78860;119009;35327;24747;12082;1443;42951;19670
;;13;23808;18743;125942;78400;117343;33660;23805;11916;1357;43122;19262
;;14;23320;18220;126885;77678;117375;33638;23946;12205;1345;42991;19307
;;15;25163;19035;126897;79011;118781;35667;25368;12721;1376;43137;20085
;;16;25217;19107;122772;78408;119705;36190;25896;12339;1384;42881;19962
;;17;25102;17951;122383;79024;119234;36519;25434;12166;1405;43123;19963
;;18;25140;18155;123349;79207;117971;36869;24964;12224;1418;43129;19867
;;19;24196;18381;124102;78590;118647;36036;24804;12289;1405;43174;19719
;;20;23662;18767;123660;79306;116727;34205;24157;11867;1370;43218;19420
;;21;22985;17532;125664;78825;116970;33432;23919;12302;1385;42791;19217
;;22;24708;18112;128416;79269;117416;35807;24547;12742;1359;43168;19921
;;23;24970;19664;127922;78163;118395;36012;24021;12496;1440;43369;20009
;;24;24577;18695;128810;79452;116740;35810;23975;13119;1363;43510;19842
;;25;24236;18901;127723;79214;117169;35223;24132;12660;1454;43773;19623
;;26;24170;18417;129266;78935;116839;35342;24162;12828;1466;43734;19913
;;27;23039;18915;130148;78839;115458;33823;23411;12307;1462;43568;19334
;;28;22968;18260;130092;78485;115518;33902;23484;11902;1420;43466;19355
;;29;24792;18712;130289;78577;116582;35865;24645;12783;1404;43615;19763
;;30;25009;19236;126139;78946;117310;36488;24409;12147;1434;43198;20066
;;31;24877;17790;128134;78524;116738;36355;24526;12246;1449;43363;20182
;8;1;25424;16757;126918;76720;114881;36811;24920;11669;1397;43242;19934
;;2;25445;16899;128268;77165;115312;36283;24515;12431;1408;43075;19826
;;3;23919;17567;127940;77811;113434;33795;23116;11984;1387;43139;19604
;;4;23413;18353;127531;76946;114273;33674;23212;12446;1386;43185;19325
;;5;25709;18813;128412;79148;115338;36693;24573;12848;1426;43347;19802
;;6;26053;19104;128413;78976;113113;37039;24776;12245;1387;43449;19738
;;7;26148;18806;130343;78285;113942;36821;24596;12182;1372;43515;20038
;;8;25678;17813;128274;79648;114396;36766;24252;12030;1394;43203;20097
;;9;25130;18213;129516;79702;114052;36136;24032;12852;1386;43331;19996
;;10;23704;19056;129260;78908;113176;34269;23155;12614;1381;43004;19650
;;11;23449;18807;131368;78270;113128;33742;23319;12399;1416;43177;19414
;;12;25019;19304;130808;79427;115629;36826;24691;12753;1435;43657;19884
;;13;25208;19634;128833;79469;114756;36662;24521;12427;1423;44264;19629
;;14;24956;18278;130463;78757;114846;36623;24611;12388;1422;44286;20072
;;15;25077;18538;129835;79834;114761;36571;24744;12271;1547;44372;20053
;;16;24812;17597;130732;79417;115170;35705;24805;12396;1666;44644;19734
;;17;23539;18367;131223;80064;114225;34383;24081;12557;1583;44276;19445
;;18;23123;18526;130216;80405;113956;34011;23789;12427;1533;44179;19495
;;19;25164;18962;131478;78761;115508;36505;24741;12374;1585;43967;19980
;;20;25012;19161;131115;76903;115041;36975;24749;12125;1578;43942;19291
;;21;25511;18455;131859;76975;115498;37182;24521;12330;1550;44111;19647
;;22;25467;18743;130087;77243;116365;36931;24691;12199;1508;43815;19660
;;23;25438;17791;131500;77624;116823;36970;24601;12503;1492;44230;19914
;;24;23907;18037;131390;78348;115632;34551;24007;11552;1502;44285;19624
;;25;23825;18231;132087;77373;114810;34076;23535;12296;1504;43879;19650
;;26;25756;18351;131905;79028;116191;36616;25093;12604;1504;43446;20102
;;27;25835;18403;129155;78600;116639;35757;24991;12026;1463;42848;20370
;;28;25121;18558;130041;79211;116872;36051;24833;12345;1448;43177;20343
;;29;25125;18471;129407;78072;116754;35898;25366;11656;1448;43297;20233
;;30;25111;17757;130410;78970;116957;36396;25217;12026;1451;43536;20521
;;31;23939;18524;130296;79629;117423;34311;24791;12159;1475;43666;20291
;9;1;23445;18772;130543;80197;116645;34938;23961;12175;1490;43428;20053
;;2;25302;18789;131143;79389;118071;36783;24564;12428;1460;43543;20571
;;3;25624;18894;129253;78841;118854;37793;25175;12052;1481;43552;20365
;;4;26113;18832;130821;80947;118129;37845;24880;12201;1528;43525;20211
;;5;25691;18483;132093;80130;118807;37078;25023;11907;1565;43970;20191
;;6;25739;17904;133532;80153;118959;37128;25973;12715;1531;44035;20030
;;7;24416;18908;136111;79841;118063;36242;23919;12953;1574;43944;19542
;;8;24122;20320;135432;79758;117324;35203;23546;13108;1628;44016;19507
;;9;25790;20025;136078;80542;119713;37986;24778;12784;1636;43954;20190
;;10;25983;20632;135110;81342;120868;38180;24993;12146;1617;44145;20641
;;11;26506;19257;138230;83186;121327;40003;25155;12345;1683;44379;20587
;;12;26489;19993;138437;83674;123712;40242;25218;12196;1805;44545;21292
;;13;26657;18665;140071;83798;124907;41589;25089;12766;1822;45037;21291
;;14;24970;19026;142538;83994;123949;39334;23862;13108;1721;44672;21282
;;15;24575;20209;142839;84016;123715;37982;23284;13598;1766;44751;20756
;;16;26263;20607;143779;83608;124130;39015;24645;13626;1803;44820;20876
;;17;26697;21489;140281;83398;122681;39208;24701;13951;1789;44819;20274
;;18;26911;20974;139088;83736;123751;39429;24466;14094;1787;44852;20095
;;19;25977;21150;137199;84572;121809;37993;24258;14050;1727;44726;20094
;;20;25924;21364;135909;83460;120761;37299;24288;14185;1689;44512;19850
;;21;25108;20638;135985;83560;122429;36919;23543;13512;1669;44697;20305
;;22;24581;20436;136307;83616;122763;36566;23487;13345;1658;44400;20327
;;23;26498;21088;137558;84455;122950;40511;25078;13833;1693;44553;21190
;;24;26785;20766;135377;83262;123606;40704;26159;12992;1719;44460;21549
;;25;26988;20038;136685;85362;124028;41442;26553;13409;1735;44647;21801
;;26;27411;19499;136612;85537;126015;41632;26363;13168;1762;44905;22162
;;27;26968;18680;142200;85852;125775;43120;27030;13899;1766;44865;22300
;;28;26206;18939;141849;86264;125713;42077;26004;14169;1802;44845;22254
;;29;25707;19945;142167;86288;124753;42312;26078;14372;1836;44831;21962
;;30;28249;20535;145611;86845;126158;45641;27409;14608;1940;45238;22706
;10;1;28563;21369;144986;85368;126686;44640;27035;14345;2010;45394;22172
;;2;28805;21267;146981;84984;127836;44470;27075;14753;2063;45632;21941
;;3;28782;21636;146757;85315;126904;43800;27251;14357;2093;45556;21693
;;4;28498;21508;145796;85435;126238;43760;26672;14843;2073;45883;22002
;;5;26897;21157;145008;85696;126948;41248;25195;14183;2104;45577;21463
;;6;26597;21114;147003;85342;125902;39127;24476;14750;2062;44657;21070
;;7;27924;22353;148641;84868;126614;41429;25929;14974;1998;45635;21700
;;8;27962;22449;146490;84369;126935;42365;25974;14937;1972;45478;21625
;;9;28105;22539;149574;84639;127395;42960;26143;14847;2014;45382;21946
;;10;28356;22623;153557;84367;128076;43354;26501;15721;2034;45558;22485
;;11;28463;23201;155354;84993;128071;43496;26909;15984;2067;45915;22447
;;12;26668;23080;154567;86647;129068;42221;26515;15269;2063;45846;22124
;;13;26511;22516;155805;85346;127578;41588;26594;15844;2114;45769;21951
;;14;28225;22307;155085;84588;128260;43837;28307;15835;2123;45789;22636
;;15;28898;22917;151484;84874;127798;44571;28320;15088;2109;45654;22225
;;16;29491;22522;151364;84739;127345;45662;28570;15071;2137;45791;22243
;;17;29299;23007;151054;86458;129343;45403;29412;15288;2166;45101;22775
;;18;30080;22468;150752;88213;130824;47246;30300;14982;2171;45791;23624
;;19;29113;22143;153154;89138;130451;46225;29701;15794;2168;46167;23646
;;20;28689;22575;154875;90442;131914;46313;29294;15502;2201;46414;23337
;;21;30869;23547;155581;90697;133071;49354;31079;15944;2251;46806;24296
;;22;31732;23667;157149;89251;133715;50068;31556;15483;2261;46682;24521
;;23;31477;22909;158974;88822;132697;49820;31360;16268;2319;46791;24485
;;24;31202;23079;158120;89956;131629;49401;30791;16101;2303;46699;24275
;;25;30857;23814;156261;90516;130425;48054;30715;15554;2313;46661;24178
;;26;29426;23398;155925;91457;131110;46945;29874;15904;2313;46715;23849
;;27;28155;23457;157015;90226;131295;46756;29607;16115;2289;46246;23841
;;28;30084;23423;157308;89835;131148;48615;30266;15955;2258;45971;24067
;;29;29124;23846;152257;88817;130101;46981;30252;15726;2234;45146;23679
;;30;29239;23190;154614;89335;130853;47902;30969;15842;2230;45812;24059
;;31;28541;22881;154655;88755;133287;47638;31175;15619;2216;45728;23763
;11;1;28610;23545;153413;88356;132924;47540;31556;14934;2235;45986;24019
;;2;28189;23165;153002;89021;130897;46548;30662;15175;2230;45937;23759
;;3;28005;22786;155814;89344;132438;47049;30309;15775;2271;45889;23682
;;4;28422;23443;157238;88822;132347;47690;30398;15812;2339;46532;24022
;;5;30092;23666;159447;89308;134606;49578;32300;16039;2408;46746;24592
;;6;30472;23674;162892;89456;134805;49948;32499;16346;2378;46591;24506
;;7;30785;23352;159914;88991;133097;50324;32077;16237;2407;46487;24328
;;8;30662;23633;158044;89980;132887;50691;32231;15651;2363;46551;25268
;;9;29780;23578;159409;91294;134262;49303;31453;15944;2373;46680;25062
;;10;29914;23723;162542;92462;136222;49676;31804;16183;2387;46894;25906
;;11;33065;24616;167837;92524;139458;52984;33483;17135;2476;47306;26594
;;12;33398;24294;168688;92758;139863;53511;33074;17001;2527;47329;26262
;;13;32695;24334;169472;92074;139195;52817;32912;17600;2667;47533;25221
;;14;33436;25218;169700;94765;141239;54331;33799;18073;2630;47895;25834
;;15;34201;25771;171345;95268;144165;55950;34166;17358;2617;48047;26519
;;16;33828;24923;174259;96306;144802;55165;33591;17663;2560;48066;27094
;;17;32569;25381;176305;94220;142365;52470;32249;17728;2754;47891;26550
;;18;33830;25742;178578;94048;141961;53957;33557;17966;2868;48034;26980
;;19;34007;25812;177595;94634;140928;55837;35796;18626;2778;47542;27295
;;20;35275;25785;175728;96614;142407;58204;36066;18850;2778;47733;27661
;;21;36083;25722;175560;98640;144544;58623;36170;18788;2773;48245;27823
;;22;35786;26036;176702;98667;144222;58457;35187;17824;2886;48343;27632
;;23;33681;25655;177563;96560;141771;55865;34088;17969;2898;48066;26618
;;24;32897;24974;176623;95568;140014;53810;33256;17791;2930;47807;26366
;;25;35112;25649;176877;96161;143317;56547;34645;18387;2916;48080;27447
;;26;35278;26677;178268;96669;145150;56239;35624;17012;2945;49128;27808
;;27;35355;26508;179709;95533;144827;56327;36075;18117;2979;48873;27374
;;28;35496;26411;180477;96122;143708;57238;35631;18749;3030;48147;27103
;;29;34586;26712;179164;95643;143435;55904;34539;18395;3026;48162;26971
;;30;33173;25847;177373;94759;140602;53477;33669;18267;2861;47904;25830
;12;1;32800;25751;176545;93616;140609;53038;33151;17941;2861;47437;25258
;;2;34506;26770;175642;94327;142048;56132;34604;18135;2950;47756;26133
;;3;34063;26698;173613;95036;142655;55868;34546;17819;2992;48682;26198
;;4;33782;27258;178655;93550;143164;54175;35023;18704;3057;48432;25545
;;5;33617;27491;176004;92282;142603;53733;33948;19480;3015;48777;25410
;;6;33304;26355;174339;92483;141431;53324;34035;18793;3037;48883;25445
;;7;32074;26433;174116;93948;139259;52326;33003;18438;2951;47647;25290
;;8;31231;25546;172565;92612;137870;50149;31838;18636;2939;47438;24775
;;9;32540;26473;173348;92047;139400;52185;34475;18679;2904;47396;25177
;;10;33246;26357;173523;92332;140699;53309;35457;18161;3016;47563;24932
;;11;34401;26498;173732;92771;139415;55635;35019;18439;3133;47809;25175
;;12;34713;26439;170859;93361;139172;56050;34537;18686;3057;47602;25522
;;13;33862;26845;170878;92682;139980;54089;33978;18140;3081;48050;25800
;;14;32279;26500;171161;93311;139482;52765;33701;18208;3030;47601;25271
;;15;32072;25821;172219;93650;140151;52875;33068;17850;2918;47384;25525
;;16;33697;25047;176444;94527;142432;54725;34632;18283;2945;47646;26302
;;17;33983;25541;178399;95199;142305;55054;34395;18167;2955;47992;26409
;;18;33634;26153;178595;93318;142708;54676;34688;18715;2947;47885;26084
;;19;33877;26739;177549;93338;140966;53960;34653;18525;3030;48445;25988
;;20;33073;27006;177102;94174;141413;53231;34871;18142;3029;48443;26178
;;21;32074;26416;178070;94108;140661;51449;32838;18109;2973;49035;25611
;;22;31074;27071;180653;91785;140966;50460;32653;18411;3009;48621;25180
;;23;33581;26888;182642;92900;142538;53851;34563;19421;3011;48511;25635
;;24;34001;27200;182512;93024;143625;54539;34437;19426;2992;48631;26198
;;25;33495;26950;183034;93505;143007;53786;34364;19166;3010;47989;26559
;;26;33581;26353;180966;95333;144317;55184;34530;18523;2963;47865;27172
;;27;33785;26769;180921;96941;148376;57074;36058;18821;2920;48678;28077
;;28;33610;27316;184983;97628;148424;55468;34863;19514;2941;49223;27840
;;29;32516;27616;186308;96176;147537;54546;33708;18954;3051;49242;27199
;;30;32420;27327;185530;92678;145916;53315;34259;19974;3105;49014;27497
;;31;31156;27220;182657;89693;142816;52002;33681;19761;3225;48477;27061
2020;1;1;27134;25505;175842;83157;135337;46312;29887;17793;2785;47315;25470
;;2;27951;26693;174763;86250;135788;47122;29932;18401;2906;47256;24374
;;3;28934;26796;172869;87512;136056;47745;30688;18245;2983;47352;24736
;;4;29385;27313;173187;89060;135913;48245;31595;18579;3024;47246;24455
;;5;29405;27252;174149;89192;136703;47658;30680;18736;3021;47269;24521
;;6;30621;26840;175770;89966;137006;48050;30902;18892;3050;47403;24608
;;7;31443;27750;172733;90030;137945;47725;30913;18863;3051;48227;24644
;;8;31930;27617;175895;91353;139822;49616;32227;18823;3094;48553;25070
;;9;33711;28019;176449;92448;142751;53662;33959;19311;3101;48476;26701
;;10;34772;28019;178719;95312;145233;54344;34104;18865;3115;48926;27275
;;11;33334;27559;181519;94806;145933;52689;33113;19317;3133;49379;26542
;;12;31779;27996;181812;94112;144411;51432;32597;19660;3141;49212;25994
;;13;33602;27887;183044;93262;144135;53695;33755;19988;3160;48523;26389
;;14;33360;28343;181909;92791;143285;53814;33805;19780;3154;48098;25563
;;15;33188;27866;182017;92412;141536;53346;33606;20028;3151;47777;25539
;;16;32920;28253;180814;91785;139671;53163;34066;19985;3169;47776;25803
;;17;32844;28306;180672;92936;140449;53728;33190;19425;3099;47845;25971
;;18;30755;27143;179727;92282;140343;50764;32517;19145;3088;47528;25411
;;19;30479;26865;178156;92441;140444;50322;31736;18952;3124;47742;25528
;;20;34046;26965;180836;94554;143244;55657;35244;19472;3077;48049;26721
;;21;34363;27503;180493;95570;145756;56642;34602;19216;3151;48211;26699
;;22;33524;26137;182770;94590;145111;56539;34018;19530;3081;48294;26552
;;23;32793;26393;184011;93279;143814;53748;33563;19305;3036;48074;25638
