Год;Месяц;День;Архангельская область;Астраханская область;Белгородская область;Брянская область;Владимирская область;Волгоградская область;Вологодская область;Воронежская область;Ивановская область;Кабардино-Балкарская Республика;Калининградская область;Калужская область;Карачаево-Черкесская Республика;Кировская область;Костромская область;Краснодарский край;Курганская область;Курская область;Ленинградская область;Липецкая область;Московская область;Мурманская область;Нижегородская область;Новгородская область;Оренбургская область;Орловская область;Пензенская область;Пермский край;Псковская область;Республика Башкортостан;Республика Дагестан;Республика Ингушетия;Республика Калмыкия;Республика Карелия;Республика Коми;Республика Крым;Республика Марий Эл;Республика Мордовия;Республика Северная Осетия-Алания;Республика Татарстан;Ростовская область;Рязанская область;Самарская область;Саратовская область;Свердловская область;Смоленская область;Ставропольский край;Тамбовская область;Тверская область;Тульская область;Тюменская область;Удмуртская Республика;Ульяновская область;Челябинская область;Чеченская Республика;Чувашская Республика;Ярославская область
;;31;18911;9157;40768;10568;17492;38558;32492;27874;8973;3868;10389;18100;3086;18901;9555;62212;10744;20964;113753;30250;252215;30762;50793;11196;39083;6849;12709;62417;5708;67741;13001;1604;1404;21751;20880;16113;6025;7751;4879;75532;43450;16430;58096;32834;106121;16612;24641;8793;20816;23348;248851;24575;15102;89002;5904;12810;21421
;6;1;18623;9250;38970;10402;17187;38113;29888;27292;8973;3935;10399;17955;2924;19150;9675;63852;10524;20859;111925;29466;252080;30676;50329;10892;38628;6622;12626;60511;5509;66974;13081;1615;1378;21667;20744;16160;6099;8038;4788;74443;42650;16279;58108;32449;105300;16538;24594;8471;20975;22887;245489;25993;15141;86975;6012;12873;21381
;;2;18498;9056;39971;10574;17866;38052;32231;27300;9011;4031;10460;18395;3029;18968;9645;63552;10268;21230;117596;29729;261198;31061;51024;11223;38013;6791;12624;58874;5586;67107;13057;1620;1363;21893;19640;16205;5916;7835;4834;74509;42416;16854;57461;33179;106298;16860;24550;8542;22268;24291;242609;24906;14716;89225;6013;12565;21551
;;3;18086;8606;39888;10159;16634;37596;33037;26712;8139;3857;10041;17075;2913;16993;9086;61789;9723;21025;113390;29407;250993;32872;48123;11035;38425;6578;12495;58482;5081;65491;12866;1628;1309;21734;20106;15923;5679;7557;4642;71552;40167;16103;54949;32551;98594;16489;23159;8564;22023;24414;241833;22244;13713;85258;5887;10752;19885
;;4;17702;8388;40019;9801;16377;36713;33724;26278;7809;3697;9976;16714;2872;16560;8457;58638;9453;20736;105605;28669;245395;32380;47041;10386;38566;6283;11925;58763;4837;67213;12612;1610;1344;21659;20424;15269;5614;7382;4519;70311;38758;15609;54122;31670;98610;15913;22244;8100;21543;23466;239193;22777;13217;85209;5904;10617;19575
;;5;18493;8926;40165;11028;18294;37153;33627;27934;8997;3903;10463;17470;2943;18778;9511;62681;9919;21199;113732;29650;268567;32410;52120;11352;39050;7001;13160;63352;5722;69987;12639;1626;1403;21430;20583;15882;7578;8037;4584;76110;41652;16532;58728;32942;106506;16894;24015;8717;23950;24814;239888;25275;15421;89514;5839;12313;21623
;;6;18289;9027;40300;11125;18453;38389;33616;27972;9137;3972;10385;16782;2962;18415;9932;65852;10142;21414;110467;29357;266164;31940;53752;11148;39652;7003;12479;62660;5399;70776;12442;1620;1408;19779;20691;16426;9945;8255;4568;78133;42502;16163;59141;33100;107689;16687;24310;8506;23460;24294;240581;25274;15294;87381;5771;12426;21616
;;7;18735;9430;38647;10753;17587;39177;33169;27947;8673;4018;10458;16515;2982;18275;9293;66097;10380;21451;104480;29479;254489;31276;53307;10319;39762;6804;12057;61732;5306;69373;12646;1597;1431;18486;20498;16769;10029;8064;4606;75891;43093;15934;58087;32418;106350;16647;24560;8337;22467;24558;240937;25358;14506;87862;6009;10969;20783
;;8;18264;9630;39981;10839;17308;38883;32621;28012;8506;3962;10352;16111;2924;18951;9160;65792;10164;21310;103750;29762;250599;30722;51972;10102;39719;6697;12004;61159;5542;69570;12773;1615;1492;19217;20203;16920;9651;7951;4472;77116;45103;16138;58023;31304;105866;16669;24855;8231;21907;24550;239965;25241;14201;85688;6016;11386;20531
;;9;17432;9932;40020;10901;17319;37983;33286;28056;8203;4036;10320;17867;2930;18159;8883;67425;10231;21777;107563;30062;244571;30590;50774;10417;39402;7012;11902;61124;5146;69109;12763;1602;1467;19424;20449;16728;7921;7931;4620;75570;45356;16061;57954;31990;106354;16915;25214;8175;21626;24978;240793;24753;14379;86619;6253;11009;20338
;;10;16459;9632;39916;9743;15317;37653;32735;27131;7252;3863;9781;16603;2925;16501;7941;65760;9951;21108;98124;30144;226641;30159;46569;10000;38460;6611;12098;59283;4592;65319;12535;1578;1414;19232;19728;16018;5996;7438;4528;70251;41067;15306;53582;31159;104102;15754;23528;8048;20142;24009;240830;22777;12827;85106;6079;9500;18499
;;11;16278;9507;39258;9331;14700;35925;32382;26376;6948;3713;9402;16166;2863;15940;7457;63404;9435;20726;95149;29947;220066;30044;43429;9534;38007;6325;11435;58299;4454;62619;12563;1606;1380;19243;20032;15366;5708;7484;4593;66891;39304;14804;51693;30855;100699;15634;22512;7862;19358;23059;239633;21705;12281;83291;6006;8811;17357
;;12;16577;9568;39764;9432;14566;35311;32155;25927;6684;3778;9542;16191;2937;15804;7866;61817;9112;20659;97008;29347;222241;30326;42522;9733;38464;6302;11637;58330;4676;63356;12721;1645;1352;19376;19794;15737;5771;7246;4808;67256;39268;15024;52117;30702;99687;15596;22473;7859;19350;22703;240147;21686;12156;83287;6150;9031;17302
;;13;17339;10164;39852;10533;17270;38144;34244;27303;8046;3924;10035;17962;2959;17296;9162;65475;9544;21477;105863;29490;247501;30872;49894;10349;39698;6944;12148;59448;5132;65187;12619;1595;1413;18158;20606;16425;6903;7403;4876;73407;42222;16361;57985;31959;102414;16748;24005;8396;21552;24475;241798;23953;13921;85584;5855;11547;19850
;;14;17581;10442;39727;10549;17507;37687;34675;27228;8245;4034;10053;18053;3041;17881;9227;65753;9450;21347;106737;30990;250189;30333;51564;10807;39913;6661;12110;59923;5238;65119;12737;1638;1445;16114;20153;16527;7001;7299;4933;74254;41850;16254;58500;32349;100778;16869;24493;8172;21537;24733;238396;24077;14159;85799;5891;11859;20435
;;15;17449;9717;40432;10380;18141;36944;34087;27212;8252;4052;10076;17983;3071;17500;9220;64857;9805;21524;105542;31528;259423;29595;52732;10075;39308;6759;11834;56844;5263;66366;12738;1676;1440;17245;18841;16427;6452;7412;4895;73722;42275;16594;59113;32603;100012;16486;23981;8197;22229;25551;237023;24140;14080;83633;5956;11700;20791
;;16;17152;9474;40113;10624;18102;36981;34401;27125;8187;4048;10161;18629;3066;17403;9243;64499;10340;21455;103716;31745;257508;29607;50921;10053;39352;6960;12199;58844;5239;66609;12812;1680;1447;18037;19723;16396;6668;7311;5027;73588;41387;16957;59229;32434;100459;16328;23640;8427;21529;25206;239259;24197;14483;87727;6000;11530;20472
;;17;16251;9541;39816;9893;15865;37361;33507;25884;7386;3782;9780;16905;3069;16104;8132;63554;10202;21011;98404;30873;231192;29847;47723;9548;38507;6388;11240;56080;4594;63937;12694;1710;1439;17580;19913;15811;6142;7217;4828;69857;40218;15713;55409;31769;98214;15744;22704;7947;19891;23256;240985;22121;12678;85046;5977;10407;18588
;;18;15798;9458;39297;9577;14794;37046;32648;25325;6758;3618;9520;15619;2890;15467;7918;61603;9471;20781;97287;30435;224593;29470;44039;9500;38053;6199;10787;55803;4496;62290;12619;1655;1455;19129;19730;15678;4922;7048;4713;66614;40131;15250;53922;30009;96731;15519;22172;7570;19601;22444;235621;21313;12195;83634;5928;9868;17234
;;19;17101;9778;40151;10584;17167;38052;33105;26375;7856;3886;10045;17509;3012;16995;8603;63506;10303;21395;103600;31437;246631;30734;48552;10030;39654;6828;12496;58112;5023;65132;12945;1686;1495;16448;20117;16530;5290;7854;4947;72535;43423;16304;58645;32451;104585;16162;23565;8415;21098;23853;241680;23626;14431;86608;6060;11668;19267
;;20;17100;10135;39769;10324;17228;39640;33257;26560;8224;4041;9932;17213;3005;17367;8937;65404;10823;21487;106575;31019;246339;31567;49038;9952;39197;6595;12430;57903;5069;65078;13018;1708;1454;15350;20101;16838;5545;7901;5036;73486;43853;16526;58325;31596;102120;16302;24049;8298;21065;23853;239121;23356;14144;86763;6102;11733;19629
;;21;17386;10058;40903;10219;17213;39949;33715;26539;8480;3916;9891;17597;3042;17468;9165;66405;10380;21398;109371;30641;247416;31856;50533;10448;39194;6522;12390;58575;5200;64864;12965;1711;1458;15579;20111;17556;5752;7811;4986;73648;45273;16354;58417;32023;101308;16252;24053;8208;21326;23691;236295;23621;14168;87823;5970;11909;19792
;;22;17836;10337;40584;10541;17910;39814;34904;26253;8573;3917;9960;16406;2983;17559;9210;66333;10371;21078;108022;31215;252251;31510;50802;10434;39368;6694;12750;58665;5270;64832;13263;1727;1487;15897;20084;17471;5950;7745;5067;74101;44825;16584;58111;32084;102775;16737;23982;8495;21257;24138;235345;23729;14186;85962;6124;11883;20097
;;23;17962;10000;41150;10663;17953;39487;34824;26012;8378;3923;10155;18257;2983;17775;9055;64408;9747;21302;106692;31730;249913;31807;50818;10653;39167;6931;13182;58484;5220;64323;13458;1740;1437;18261;19872;17605;5854;7761;4902;73563;45327;16517;57471;32762;104343;16607;24066;8537;21056;24376;238641;23493;14294;88124;6339;11977;20089
;;24;17189;9876;40599;10121;16163;38168;33828;24646;7470;3836;9887;16145;2908;16929;8603;64806;9653;20707;100344;31423;229153;31116;47535;10261;39619;6472;12147;57181;4854;64294;13367;1818;1404;18673;20326;16727;5461;7440;4726;69863;42638;15577;55668;31757;100210;15403;23316;8083;19662;22996;237202;21946;12835;87665;6721;10371;17983
