Год;Месяц;День;Архангельская область;Астраханская область;Белгородская область;Брянская область;Владимирская область;Волгоградская область;Вологодская область;Воронежская область;Ивановская область;Кабардино-Балкарская Республика;Калининградская область;Калужская область;Карачаево-Черкесская Республика;Кировская область;Костромская область;Краснодарский край;Курганская область;Курская область;Ленинградская область;Липецкая область;Московская область;Мурманская область;Нижегородская область;Новгородская область;Оренбургская область;Орловская область;Пензенская область;Пермский край;Псковская область;Республика Башкортостан;Республика Дагестан;Республика Ингушетия;Республика Калмыкия;Республика Карелия;Республика Коми;Республика Крым;Республика Марий Эл;Республика Мордовия;Республика Северная Осетия-Алания;Республика Татарстан;Ростовская область;Рязанская область;Самарская область;Саратовская область;Свердловская область;Смоленская область;Ставропольский край;Тамбовская область;Тверская область;Тульская область;Тюменская область;Удмуртская Республика;Ульяновская область;Челябинская область;Чеченская Республика;Чувашская Республика;Ярославская область
;;3;23359;13908;45390;12660;20557;51817;41660;35383;10489;5185;14080;20365;3805;21310;10890;73345;13531;24300;147148;41127;326193;42079;61252;13256;47015;8025;14780;74053;6503;83293;23604;2703;2433;25107;28074;22664;7505;10088;5516;88213;57053;19473;70655;40117;135357;18343;30766;10936;23745;30428;281261;28447;17056;108153;8983;14858;24550
;;4;24962;14797;44899;13730;22271;53862;41428;36499;11553;5444;14772;21476;3917;23381;11695;77132;14514;24779;152872;39858;341523;42883;65752;13722;47122;8569;16052;77651;7098;86203;23728;2693;2495;24392;29060;23377;8656;10246;5658;94778;60387;18915;74385;41453;141076;19171;31478;11314;24734;31605;283626;31484;18872;112787;9491;16380;26544
;;5;24461;14585;43037;14196;22167;51128;42203;36012;11611;5606;14987;20880;3910;24000;11406;78806;14574;24682;153818;38785;342518;41918;65010;13606;48398;8895;15984;78449;7051;88280;23670;2638;2381;24216;29081;24004;9652;10138;5758;96972;58769;19242;75560;39661;143893;18662;31495;11175;24990;31437;285255;32187;19267;114488;9845;17132;26779
;;6;24161;14224;45827;14482;22681;51722;41177;35815;11684;5543;14837;21940;3958;23950;11590;80538;14665;25125;154717;39603;346896;41975;66585;14045;48851;8904;15606;78166;7329;88247;23182;2649;2408;24135;27109;25005;9796;10086;5685;95540;59819;19413;76273;39643;143398;18817;31456;11055;25323;31530;286143;31661;19119;113671;9958;17129;26869
;;7;23750;14119;46336;14118;22594;50675;41273;35959;11600;5392;14726;21428;3849;23741;11471;82883;14928;24919;157160;39404;347012;42191;66075;13869;48307;8865;15850;77600;7246;88319;22604;2614;2409;24272;27723;26077;9548;9863;5564;95097;60842;19050;75985;40092;143396;18646;31332;11202;25126;31023;283907;31219;19259;113482;9395;17163;26849
;;8;23283;13990;46797;14154;22363;51066;41773;35741;11495;5321;14480;21188;3974;23439;11199;83458;15208;24890;152401;39489;341253;42118;65012;13939;47869;8774;15297;76772;7023;87202;23212;2643;2433;23923;28392;26652;9506;9869;5774;93340;60076;19061;74674;39795;138435;18833;32151;10961;24834;31453;281312;30326;18572;111051;9499;16862;26876
;;9;22183;13684;45741;12920;20837;49521;41289;34839;10602;5413;14269;20279;3916;21623;10474;81971;13809;24721;144192;39521;326957;40350;62051;13300;47197;8140;15362;74417;6431;85118;23310;2623;2402;23742;27792;25277;8758;9800;5640;90417;58321;18708;71115;38801;135372;18235;31281;10818;23603;30583;278514;28780;17350;107335;9590;15653;24788
;;10;21353;13498;45675;12654;20062;50090;41329;34544;10270;5262;13699;18340;3736;21033;10231;79420;13686;24551;140592;39003;324162;39132;60465;13168;46437;8031;14497;72194;6272;83171;23398;2612;2383;23359;26883;24626;8574;9717;5585;87517;56678;18437;69591;38565;131585;18011;30328;10522;23531;30089;277577;28055;16745;105536;9724;14848;24382
;;11;22571;14159;45323;13882;22179;50899;41330;36411;11394;5504;14383;20007;3889;22894;11410;80215;14093;25191;148377;39646;346188;38079;65931;13676;48348;8713;16110;74270;6950;86549;23895;2632;2420;23818;26176;25249;9157;10250;5850;92990;59423;19151;75332;41518;133325;18925;31379;11352;24969;31637;277757;30243;18555;107732;9696;16362;26655
;;12;22001;14311;46278;14176;22335;50678;41728;36132;11364;5522;14254;20135;3808;22510;11450;79536;14601;25105;149615;39163;346141;38745;64842;13450;48009;8680;15673;73929;7106;87007;23685;2612;2459;23670;25829;24891;8932;10336;5778;92869;59318;19365;76013;41321;132095;18883;30738;11184;25024;31429;272817;30257;18575;107741;9652;16732;26395
;;13;22333;14298;45190;13782;22546;52692;41562;36332;11273;5531;14412;19692;3818;22187;11564;79643;14561;25259;149156;39342;344666;38003;65115;13043;48189;8623;15640;73123;6914;86866;23368;2633;2488;24294;26296;25070;8502;10056;5762;93517;58601;19337;76356;42616;129978;19209;30664;11293;24956;31410;268739;30001;18768;108557;9636;16796;25911
;;14;22585;14262;45954;13987;22032;50258;41268;35629;11215;5611;14282;21338;3954;22173;11246;81473;14840;24825;149324;39134;344450;40227;65184;13330;48366;8579;15423;72472;6991;87135;22837;2596;2451;24392;26651;25411;8530;10075;5872;93357;59500;18794;75496;39763;129855;19128;31598;11062;25449;31563;267549;30287;18460;107575;9515;16662;25871
;;15;21623;14124;46329;13978;21948;50314;40863;35941;11080;5684;13665;21845;4107;22168;11310;81528;14945;25311;139450;40194;343360;36703;65465;12516;47963;8648;15579;72689;6439;86508;23454;2644;2405;22534;25964;25870;8412;10298;5898;92434;59760;18886;73913;39286;130986;19241;31593;11285;25145;31523;269249;30075;18462;106631;9250;16670;25720
;;16;21516;13963;45939;12970;19870;49072;40524;33843;10082;5242;13504;20013;4018;20693;10753;82367;14519;24525;139261;38305;319080;37990;60204;12847;47089;8195;14515;70591;6172;84166;22963;2562;2469;23734;26529;25841;8173;9785;5632;87973;57649;18436;69838;38361;128744;18555;31877;10548;24342;29940;272185;28485;16606;103120;9027;15176;23804
;;17;21362;13421;45904;12704;19309;48451;41003;33408;9742;4893;13304;18939;3838;20371;10225;80823;13710;23858;137258;37970;312936;37509;58627;12552;46717;8125;14072;70401;6118;82071;22375;2561;2392;23702;26356;24329;7988;9636;5545;85558;55681;17961;67927;38168;126905;17679;31005;10319;23591;29277;276417;27327;15896;101182;9279;14547;23322
;;18;22427;13987;45792;13590;21659;48255;41835;35288;11042;5354;13755;21097;3938;21169;10995;81349;14632;24442;147044;38262;337433;38224;63852;13425;46016;8571;15637;72325;6775;84264;22785;2590;2383;24156;27221;24858;8695;10227;5830;90767;58382;19062;72829;38488;128672;18361;31738;11031;25210;31038;278898;29554;17980;103641;9289;16228;25916
;;19;22711;14268;45844;13917;22121;49192;41646;35676;11437;5364;13605;21747;3857;21767;11167;82751;13895;24462;146827;37652;341140;38510;65880;13593;45913;8773;16013;73064;6842;84462;21253;2608;2402;23606;27570;25140;9186;10296;5693;92514;57864;19489;74046;39240;129430;18611;31364;11215;25501;31212;272890;30144;18651;107140;8886;16805;26382
;;20;22569;14096;46330;14328;22220;49846;41327;35833;11353;5336;13776;22252;3935;22009;11239;82365;13914;24774;148238;38386;339156;38507;66086;13705;46221;9031;16021;74386;6867;84568;23003;2585;2410;23428;27242;25404;9407;10201;5712;91981;58567;19988;74120;38693;133905;18960;32398;11278;24985;31611;269447;30621;18571;106866;9024;16529;26447
;;21;22670;13761;46401;14520;22443;50349;42105;35839;11201;5280;13888;22214;3912;21971;11119;81181;14418;24567;152605;39133;342293;38902;64524;14175;45864;9015;16131;73976;6916;85226;22884;2526;2395;23947;27007;25136;9109;10094;5681;91251;59332;19970;73936;39481;133328;19009;31786;11270;25879;31957;270904;30193;18650;107887;8901;16459;26623
;;22;23027;13540;46662;14589;22826;50036;42005;36497;11302;5308;14082;22018;4008;22250;11329;82269;14209;24839;152198;39459;351241;38959;65884;14266;46301;9009;15787;72568;6994;84253;22450;2533;2395;24417;26324;25598;9038;9992;5671;89877;59159;20569;71769;39456;131082;19002;31704;11330;26139;32244;267831;29477;17880;107164;8932;16277;27335
;;23;22115;13034;46008;13337;21049;48651;42143;34745;9962;5044;13929;18376;3857;21074;10995;80617;13217;24461;146118;38178;330667;37386;61874;14015;45810;8364;14650;71002;6663;81648;22221;2496;2335;24278;26950;25657;8328;9646;5445;87236;57057;19623;68294;38697;126212;18006;30745;10724;25542;30738;267028;27489;16389;104158;8731;15035;25055
;;24;21605;13018;46377;13129;20678;48276;41841;34744;10034;5041;13430;18016;3793;21161;10926;81546;13049;24399;140082;38827;324282;36371;61133;13301;45939;8186;14393;70584;6382;81693;22284;2499;2332;23831;26556;26030;7958;9821;5374;87016;57623;18777;68267;38427;127116;18195;30471;10792;24921;30428;266939;27690;16477;103487;8925;14935;24132
;;25;22199;13913;46615;14100;22291;51018;41133;36441;11237;5418;14231;19636;3956;22825;11566;83504;14063;25043;145802;39438;338452;36790;66313;13611;46800;8812;16357;72907;6966;84651;23137;2554;2451;23914;26889;27071;8864;10205;5641;91933;60618;19051;73535;39856;132313;18422;31341;11447;26001;31438;268353;29971;18666;107213;9341;16485;26319
;;26;22158;13850;46581;14054;22154;50514;40758;35556;11109;5332;13874;21112;3858;22589;11072;85044;14252;24763;145703;38659;337252;35816;64452;13360;46833;8756;16233;71887;7006;84549;22971;2542;2422;24083;26350;26947;8669;9995;5577;92231;59701;19007;73513;38635;132033;18430;32862;11201;25885;31211;267424;30430;18364;106746;9056;16282;26417
;;27;22758;13387;45956;14102;22714;50451;41082;34865;11274;5329;13717;21813;3949;22683;11336;86450;13998;24482;147250;38554;337127;35660;64706;13438;46831;8764;15417;72322;7041;83035;22803;2548;2380;24348;26746;27074;8645;10060;5618;91671;59550;19004;73079;39864;132591;18330;32304;10905;25976;31170;270493;29704;18156;105700;9045;16417;26584
;;28;22513;13566;46113;13731;22285;49439;39990;35606;11222;5470;13713;21625;3929;22430;11648;84089;14086;24882;146699;39224;336591;36168;65212;13539;47272;8555;15216;70900;7009;83351;23152;2613;2385;23974;26574;26561;8697;9773;5789;91211;58202;19051;72109;39572;129375;19191;31718;10904;25833;31066;273030;29612;17664;106690;9406;16361;26332
;3;1;22502;13836;45668;13412;22260;47904;40149;34960;11157;5294;13983;21063;3887;22287;11413;84488;13911;24825;149509;38784;335671;36343;64666;13819;46241;8255;14956;72111;7019;82981;22654;2507;2369;23430;26715;25859;8519;9825;5575;90244;58687;18787;71254;38442;126810;19428;31811;10524;26164;30909;269865;29259;17355;105184;8892;16213;26620
;;2;22458;13449;45511;12681;20327;46483;41464;34052;10528;5210;13591;19687;3931;21196;11178;82808;13403;24709;145471;38757;323636;38993;61019;13737;44887;7868;13990;70817;6553;81244;22441;2487;2314;23637;26666;25290;7933;9704;5504;87262;56092;18329;68119;36331;125746;18575;30929;10071;24824;30156;265550;27799;16172;102402;8782;15259;25122
;;3;21907;13184;45525;12401;20405;46070;41565;34396;10358;5152;13427;19883;3907;21280;11184;80533;12884;24454;143347;38659;323207;38835;61172;13316;44786;7884;13902;70180;6380;79569;22634;2525;2324;23637;26614;25150;7927;9623;5597;85820;55398;18282;67310;35562;124801;18175;30716;10318;23959;29854;264995;27575;15979;101909;8873;14859;24657
;;4;22805;13358;45562;13456;22211;48058;41347;36189;11391;5064;13780;20412;3977;22512;11805;82533;13833;25057;150125;39049;341632;39605;64338;13918;45553;8421;14687;72858;6915;83273;22723;2488;2342;24165;26944;25997;8431;10245;5618;90609;58802;19168;71422;37016;128314;18785;31845;10705;25299;30772;263139;29956;17336;104040;8725;16082;26841
;;5;23089;13053;44664;13193;22050;47270;40696;35480;11554;4914;13912;19763;3897;22881;11874;80263;13719;24921;151486;36974;335714;39335;63958;13692;45587;8363;14936;72803;6804;82685;22212;2456;2290;23607;26585;25267;8147;10037;5578;90388;57252;19500;72103;36417;126550;18788;31252;10461;24499;31201;263652;30172;17444;102439;8663;16274;26846
;;6;22434;12658;46204;13300;22272;46389;41295;35137;11569;4917;13577;19815;3849;22561;11629;79942;14339;24997;151482;37688;339666;39076;64379;13838;45319;8485;14767;71847;6870;82494;21909;2381;2288;23796;26672;24774;7708;10121;5232;89807;55499;19273;70527;36097;129226;19126;30776;10685;24790;31403;267146;29592;17483;105005;8533;16148;27075
;;7;22288;12363;45589;13252;22102;45793;40849;35086;11195;5262;13681;19574;3960;22081;11432;78311;13691;24763;148156;36884;338884;39427;63806;13731;44830;8518;14577;71998;6775;81205;22348;2457;2324;23437;26998;23977;7450;9928;5449;89488;54426;19127;69928;36849;126617;19458;31301;10676;25102;31745;263241;29317;17009;104645;8978;15992;26854
;;8;21554;12013;45171;12042;19976;44567;40475;33337;9271;4933;12719;19336;3774;20619;10702;74048;12818;24001;135660;36096;313651;38809;58293;12912;44171;7966;13561;70623;6111;79686;21436;2404;2260;23245;26287;21979;6774;9373;5206;84672;52996;17840;65397;35377;122707;17963;28316;10106;23205;29674;262705;27126;15334;100396;8614;14520;24288
;;9;21028;12062;44577;11894;19289;44022;40007;33346;9514;4816;12924;18746;3707;20525;10254;72012;13209;23727;135453;35876;302175;37905;57476;12874;44989;7863;13542;70299;6072;80889;21112;2332;2245;23396;25763;21690;6720;9388;5079;86307;52151;17239;66370;35197;123612;17748;28112;10079;22572;29221;260553;27517;15517;101370;8390;14409;23575
;;10;20914;11901;43515;11757;18997;44188;40100;33379;9650;4643;12947;18650;3557;19926;10346;71933;13096;23814;134992;36481;304801;37063;57373;12695;44430;7881;13349;69137;6018;79758;20872;2279;2216;23325;25783;21732;6483;9530;4938;84125;52527;17562;65332;34473;123839;18462;28210;10167;22500;29075;260840;26443;14900;100604;8331;14062;23350
;;11;21660;11980;45120;12999;21175;45903;41329;35008;10920;4848;13785;21118;3680;21730;11261;74838;13375;24594;145036;37382;326215;38083;62445;13292;44807;8355;14651;70743;6662;80988;20548;2247;2175;23522;26049;23101;7117;9835;5013;89444;54770;18556;70835;36703;126572;18822;29346;10665;24046;30633;262546;29171;17258;101761;8162;15603;25644
;;12;21844;11582;44488;13106;20986;44772;40289;34953;10904;4805;13973;21230;3666;21490;11065;76532;14286;24464;148206;36898;327591;38031;62330;13463;45421;8325;14934;68890;6994;81357;20040;2220;2176;23890;26240;24244;6990;9726;4869;89373;55026;18459;70640;37288;122797;18302;29097;10564;24311;30615;259691;29512;17415;101047;7889;15927;25893
;;13;21986;11834;45064;12936;21900;45948;40308;35018;11023;4851;14015;21451;3771;21390;11322;79274;13702;24491;146728;37936;334324;38555;62839;13590;45188;8291;13960;69372;6822;80852;19842;2226;2236;23876;26056;24349;7021;9685;4847;89199;55200;18942;69991;36538;122620;18528;29965;10466;24850;30624;258862;28864;17063;101531;7947;15973;26067
;;14;22201;11866;44076;13025;21844;43987;40826;34996;11083;4978;13939;22157;3842;21912;11414;80068;13377;24475;146324;38023;334587;38504;64686;13572;44351;8314;14319;69968;6793;81199;20777;2384;2244;23322;25032;24324;7116;9494;5269;89466;55638;18779;70895;36985;122669;18799;30886;10530;24675;30831;258605;29081;17360;100965;8138;16056;26318
;;15;22009;12209;44953;13343;21522;45490;40282;35642;11051;5010;13823;21566;3860;21525;11213;79236;13478;24733;143859;38589;329408;38211;64106;13391;44971;8563;15555;70076;6666;80649;20875;2408;2291;23190;26606;24206;6997;9462;5317;89359;57979;18875;69953;37493;124965;18870;32053;10761;24381;30871;262919;28925;17592;101015;8435;15988;26052
;;16;20871;11906;45055;12350;20023;44561;40173;34420;10265;4904;13465;20186;3736;20533;10882;76814;13071;24184;136895;38376;315515;36952;60900;12933;44881;7959;13880;68981;6311;78951;20188;2289;2217;23155;26332;23521;6615;9263;5007;86613;54396;18306;67122;35976;123587;18856;30416;10253;23123;29453;264238;26999;15961;98999;8103;15101;24638
;;17;20732;11809;44727;11881;19193;44815;39617;33650;9768;4929;12933;20069;3760;20199;10660;76022;13461;24010;133187;37633;307712;36528;58592;12641;44705;7842;13129;67422;6122;77649;20164;2325;2208;23150;25616;23023;6484;9082;5029;84247;53111;16973;65535;34722;121611;18663;30055;9976;22527;28966;263890;26181;15348;98886;8287;14162;23679
;;18;21271;12041;44419;13054;21170;46533;39912;34687;10709;5160;13633;21233;3802;21417;11179;76278;13999;24785;141145;38563;321161;36700;62520;13354;44880;8694;14984;68908;6649;79880;20815;2357;2223;23539;26066;22776;7095;9379;5390;87951;54195;17665;69003;36642;122537;18913;30387;10850;23721;30209;263428;28276;17425;101702;8279;15709;25499
;;19;21357;11977;43700;13168;21042;45561;40792;34267;10756;5076;13520;20354;3692;21424;11214;74702;13256;24384;140296;36151;326446;36723;60857;12934;45103;8474;14784;68754;6581;79099;20960;2337;2234;23355;25046;23009;7106;9460;5281;87798;55263;17885;68460;35831;124732;19083;29984;10740;23881;30385;260420;28501;17309;101033;8276;15632;25792
;;20;21373;11800;44438;12943;20708;45773;39478;34547;10481;5042;13675;19282;3669;21472;10692;75127;13347;24431;142145;37483;321581;37025;61832;12887;44015;8484;14691;69101;6688;78354;20937;2301;2199;22807;24814;23424;7149;9581;5214;87913;55609;17894;68444;36666;124127;19435;29396;10528;23768;30196;260047;28815;16771;101512;8117;15678;24969
;;21;21113;11756;44510;13072;20574;45911;39703;34305;10366;4949;13570;19721;3634;21345;10564;76231;13111;24366;140597;37278;323748;36969;61731;12859;43539;8306;14735;68980;6532;78432;20263;2261;2176;22997;24566;23618;7071;9353;5008;88378;55227;17710;69093;37200;123499;19569;30284;10473;24009;30303;262701;28741;16968;101050;7920;15538;24723
;;22;21211;11724;45018;12930;21014;46361;40027;34683;10408;5139;13084;19692;3782;21085;11038;75403;13028;24349;140857;37795;327027;36449;60917;12902;43648;8348;14022;69435;6441;78487;20774;2352;2210;23112;25376;23296;6982;9483;5316;88374;54546;18296;70086;36980;123805;19443;30754;10424;24259;30501;261513;28268;17013;100118;8340;15289;24850
;;23;20397;11506;44415;12624;19240;46112;40405;33879;9707;4963;12750;18427;3761;19763;10545;76886;12495;23814;135057;35499;304156;36426;58235;12316;43285;7846;13723;67628;5902;76413;20316;2330;2208;22994;25093;22979;6334;9146;5045;85506;53751;17595;65342;36008;120615;19108;29265;10164;22488;29261;261792;26899;15268;99732;7975;14690;22780
;;24;19893;11594;43997;12101;19104;45749;40162;33181;9514;4850;12489;17615;3755;19475;10244;76422;12214;23175;130731;36446;305640;35525;56583;12209;43560;7717;13494;66444;5712;75900;20968;2371;2217;21893;25260;22851;6295;8608;5157;83418;53557;17323;64126;35655;120156;18816;29286;10051;22399;28824;259769;26255;14758;98099;8437;13946;22731
;;25;20868;11832;44221;13109;20889;45242;40499;34175;10441;5008;13296;18755;3753;21517;10857;76881;13272;23422;136823;36402;313350;36086;61349;12747;44746;8387;14833;68780;6246;78980;20726;2334;2190;22228;25535;23006;7481;9092;5180;88230;54745;18134;69566;37148;122812;19116;29082;10564;23478;29880;259773;28948;16708;102680;8221;15418;24671
;;26;20937;11690;44895;13281;21438;44512;40135;34929;10567;4915;13769;19412;3640;21079;10641;75418;13509;23389;141097;37057;315126;36537;60835;13072;43728;8443;14860;68870;6365;77680;20691;2256;1986;22974;25520;22837;7972;9421;5034;87635;53686;18682;68823;35959;123527;19102;28965;10772;23706;29998;261435;28387;16978;98827;7990;15522;24871
;;27;20793;11636;44045;13383;21578;44415;41022;34739;10604;4886;13604;19438;3681;21068;10725;76194;13071;23407;140096;36880;317900;36976;61532;13045;43259;8470;14954;68166;6420;78055;20138;2175;2131;22614;24749;23085;8039;9104;4919;87863;54713;18623;68823;36310;123506;19344;29496;10699;24291;30042;258934;28623;17184;98381;7982;15592;24897
;;28;20636;11443;44391;13313;22008;45203;40325;34595;10804;4928;13358;21047;3888;21057;11053;78690;13477;22734;138897;36655;320356;35978;61132;12874;42910;8405;15007;67018;6483;76736;20350;2337;1919;22136;24656;24153;7491;8955;5260;87921;55547;18530;68554;36007;120879;17921;30699;10588;24510;30045;258142;28132;17122;98722;8528;15619;25145
;;29;20827;11436;44713;13288;21612;44921;40667;34084;10527;5069;13111;21018;3873;20634;10609;77615;13362;23456;135804;37400;320752;35530;60350;12718;43868;8425;14442;67211;6268;77203;20923;2355;2172;22124;24597;23882;6789;8966;5376;88113;54652;18528;68048;35892;123032;17793;30058;10538;24258;30419;258793;27485;16695;99157;8668;15527;24955
;;30;20098;11463;43599;12098;19512;44117;39782;32764;9645;4822;12407;19066;3743;19685;10227;76299;12811;22577;129615;36979;296599;35317;56897;12144;43111;7689;13557;66341;5733;76783;20958;2278;2175;21762;25104;22603;6480;8842;5115;84889;53428;17882;65621;35372;120157;17124;28147;10131;22699;28888;257162;27076;15742;96861;8313;14524;22924
;;31;19910;11268;42699;11387;18424;42376;38965;31090;9156;4602;12204;17859;3539;19033;9799;73082;12452;22131;129696;34954;284756;35153;54765;12120;43093;7429;13056;65060;5585;75877;20376;2230;2146;21964;24913;21788;6143;8340;4853;82222;50941;16930;63423;34156;118624;17262;27756;9753;21556;27454;257620;26088;14932;96952;8179;13451;22042
;4;1;20750;11654;42815;12418;20673;42980;40074;32184;10179;5042;12992;19140;3678;20235;10845;72603;12691;22111;135390;35131;309139;35336;59056;12653;43290;7933;13932;67586;6182;76857;20832;2287;2232;21527;25023;22174;6541;8736;5123;86143;53404;17445;66502;34793;119442;18235;29813;10144;23413;28588;257281;28213;16644;96094;8037;14770;24561
;;2;20411;11889;41436;12594;20811;44517;39157;32914;10304;5125;13064;19305;3868;20345;10775;75372;11828;22735;134949;34884;309013;35282;58709;12569;42936;7813;14604;67548;6180;75669;20539;2340;2273;21270;24572;22353;6520;8949;5290;86057;53291;17662;67286;35908;118645;18008;29846;10232;23150;29144;254790;28185;16778;94456;8308;14864;24611
;;3;20279;12244;43661;12408;20990;45845;38274;33194;10311;4991;12761;19624;3824;20361;10859;76055;12456;22896;132996;35690;306614;35066;60123;12392;43598;7780;14057;67534;6194;76414;20513;2251;2223;21379;24640;22462;6535;9036;5210;86577;54952;18059;68008;36183;121520;17827;29212;10131;22951;29033;253161;27926;16976;97865;8052;14974;24458
;;4;20044;11486;43316;12365;20682;44747;38908;33608;10349;5055;12605;19840;3782;20134;10727;75718;12855;22104;131353;37052;305001;35171;59815;12301;43118;7764;14255;66414;6096;76501;20346;2243;2208;20629;24371;22517;6657;9165;5282;85865;54499;17951;67607;36380;120525;17388;28889;10459;22694;28844;253340;28076;16746;97660;8117;14884;24251
;;5;20252;11704;43157;12306;20987;44739;38970;33503;10331;4856;12372;19365;3694;20268;10318;73563;12276;22128;130106;37419;307482;35327;61261;12118;43338;7992;14234;67107;6083;76123;19479;2165;2166;21104;24242;22500;6871;9333;5109;85844;53731;18217;67314;36348;120298;17533;28993;10438;22776;29309;252092;27790;16667;97268;7798;15044;23821
;;6;19389;11196;43741;11674;19517;43654;39187;31973;9619;4684;11908;19201;3551;19027;10041;69649;11552;21640;125437;36728;291586;34893;57323;11745;42417;7601;13980;65946;5643;73683;19634;2166;2127;21312;24085;21603;6514;8824;5027;81771;51145;17808;63659;34567;118163;17021;28091;10026;22053;28098;251515;26064;15311;94297;7967;13848;22234
;;7;19404;10814;43295;10986;18737;43509;38639;30323;9234;4438;11542;17908;3303;19357;9865;65771;11333;21157;122139;35220;285331;34487;56459;11520;42065;7237;13335;64647;5441;73225;19201;2110;1841;20910;24525;20388;6512;8298;4684;80732;48672;16791;62768;33852;115452;16213;26533;9461;21557;27112;251466;25410;14639;92667;7647;13127;21984
;;8;19895;10930;43691;12356;20809;43239;38915;32149;10085;4784;12525;20119;3413;20471;10205;67188;12126;21828;131445;36238;306731;34968;61034;12177;42318;8012;14416;65261;6079;75546;18962;2134;1898;21281;24928;20886;7002;8892;4896;84298;51255;17248;66270;35099;120546;16681;28817;10161;23455;28413;253013;27293;16411;96014;7612;14702;23973
;;9;20256;10784;44361;11801;20562;42285;38676;32166;10217;4738;12876;19640;3395;20391;10266;65536;12002;21834;134750;35290;296775;35168;59955;12400;42315;7564;13846;65148;6128;74638;18119;2095;2212;21644;25089;20556;6928;9031;4809;83413;49120;17428;64683;33612;118813;17338;28032;9834;23030;27668;253637;27617;16296;90941;7361;14720;24079
;;10;20555;10551;43317;11541;20406;41754;38986;31959;10183;4687;13097;20053;3312;20109;10035;65061;11979;21625;135247;35986;298061;35630;59806;12207;41740;7208;12917;65015;6285;73438;18005;2014;2135;21696;25348;20361;6880;8939;4708;83378;48169;17373;63810;32964;118587;17208;27591;9217;23128;27607;254752;27415;16148;92426;7720;14836;23983
;;11;20670;10534;42301;11568;20334;41253;38904;31254;10074;4686;13247;18843;3398;20568;9852;65301;12465;21203;137115;35225;296704;35222;59137;12474;40915;7288;12429;64089;6336;72345;17793;2097;2055;22015;25313;20581;6666;8755;4674;82393;47894;17477;62648;32321;115843;17097;27326;9059;23093;28180;253209;27266;15718;92277;7283;14708;23725
;;12;20476;10523;42287;12494;20930;40973;39012;31302;10136;4595;13170;20675;3414;20237;10003;65618;11456;21564;134400;35782;304815;34798;58851;12468;40534;7801;12903;64357;6258;71370;17080;2044;1685;21817;25331;21116;6708;8608;4576;81606;47588;17455;62981;31995;113320;17287;26563;9335;23594;29033;252844;26799;15535;91160;7252;14624;23965
;;13;19771;10248;43338;11953;19569;40139;39228;30834;9479;4354;12677;19745;3276;19355;9925;65669;11497;21477;129793;35447;290505;34287;55564;12124;40272;7562;12897;64347;5860;70550;16410;1969;1661;21711;25192;20656;6400;8585;4336;80247;45807;17170;59537;30592;113539;16788;25828;9276;22945;28404;253179;25567;14455;90099;7092;14059;22285
;;14;19516;10086;43168;11685;18915;39974;39872;31163;9150;4249;12268;19117;3230;19019;9707;65046;12056;21466;126015;36063;289966;33991;53943;11743;40498;7533;12775;63852;5638;71695;16322;1972;1983;21831;25260;20693;6402;8472;4234;78140;45718;17071;59552;30679;113732;16400;26429;9177;22603;26966;254773;25034;14322;93212;7136;13085;21991
;;15;20523;9851;42665;12989;20525;42647;39393;32334;9896;4555;12457;20449;3367;20088;10112;68379;12348;22227;130216;36853;304916;34725;58315;12155;41033;8140;13623;65253;6039;74063;16851;1984;1730;21166;25460;21747;6810;8485;4395;81635;48905;17042;63876;34701;116414;17405;27438;9815;23688;27679;255443;27603;15750;93587;7360;14270;23684
;;16;20110;9640;43241;12735;20339;41958;39310;31773;9837;4778;12359;17680;3432;18908;10180;68671;12576;21968;128210;34811;296917;34114;58657;11764;40555;7986;13462;65455;5896;75145;16744;2093;1586;21459;25544;22014;6911;8366;4573;82733;49100;16944;64071;33888;117828;17273;26988;9639;23241;27079;256758;27956;15550;93447;7365;14785;23930
;;17;19957;10248;43154;12494;20145;41761;39282;30822;9770;4957;11998;17169;3514;19064;10350;71138;13304;21779;127333;34788;295420;33634;58641;11569;41205;7929;14185;66636;5828;76551;17644;2173;1564;21591;25093;22383;6867;8466;4831;82779;50937;16933;65161;34502;119737;17088;27734;9857;22878;26962;258343;28401;15993;95131;7894;14687;23702
;;18;20120;10923;42807;12363;20289;43759;38727;30656;9879;5198;11708;17466;3683;18686;10335;75958;12657;21721;127113;34925;297375;32894;58898;11359;40443;7946;14295;65682;5799;76132;18554;2278;1562;21232;25185;23430;6640;8307;5048;82424;50384;16823;65805;34604;117764;17071;29407;9797;23147;27186;254626;27414;16142;95681;8230;14762;23653
;;19;19672;10960;43643;12309;19835;43746;39643;30496;9633;5227;11711;17025;3822;18557;10323;78397;12212;21324;126938;34413;293628;33711;57781;11363;40751;7780;13925;65673;5750;75420;19549;2360;1567;21462;25379;23699;6515;8421;5268;81915;52156;16674;65179;34406;118378;17124;29183;9685;22854;27016;253863;26916;16233;94705;8446;14332;23308
;;20;18907;10591;43139;11634;18351;41321;38156;29297;8995;4918;11392;17528;3748;17224;9904;74973;11964;20758;123189;33887;278070;33517;52529;11168;40380;7151;13219;65400;5352;73457;20294;2322;1603;21327;25146;23216;6080;8206;5087;78486;51194;15713;60428;32808;116606;16486;27532;9182;21636;26995;255541;25513;14748;91969;8433;13662;21651
